concert_name,concert_date,concert_time,artist,venue,venue_address,cost,created_at,updated_at
"Boston Landmarks Orchestra presents","Wednesday, August 16, 2017","7:00 pm","Longwood Symphony Orchestra","Hatch Shell Boston Esplanade","Boston",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Wednesday, August 16, 2017","7:30 pm","Borromeo String Quartet","Dennis Union Church","Dennis",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Wednesday, August 16, 2017","8:00 pm","Chamber Music","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Thursday, August 17, 2017","8:00 pm","Schubert&#8217;s Summer Journey","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Friday, August 18, 2017","7:30 pm","Rossini’s Petite Messe Solennelle","First Congregational Church","Wellfleet",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Friday, August 18, 2017","8:00 pm","David Afkham, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, August 19, 2017","10:30 am","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Ellingwood Chapel Concert Series (EC) presents","Saturday, August 19, 2017","8:00 pm","Jose Lezcano, Guitar","Ellingwood Chapel","195 Nahant Rd., Nahant",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Sunday, August 20, 2017","10:00 am","Chamber Music","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Sunday, August 20, 2017","2:30 pm","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Sunday, August 20, 2017","4:00 pm","Amernet String Quartet","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Monday, August 21, 2017","7:30 pm","Ying Quartet","Church of the Holy Spirit","Olreans",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Landmarks Orchestra presents","Wednesday, August 23, 2017","7:00 pm","Landmarks Dance Carnival","Hatch Shell Boston Esplanade","Boston",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Wednesday, August 23, 2017","7:30 pm","Ying Quartet","First Congregational Church","Chatham",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Wednesday, August 23, 2017","8:00 pm","Schubert&#8217;s Summer Journey","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"First Baptist Church of Medford presents","Friday, August 25, 2017","7:00 pm","Matisse Trio","29 Oakland St.","Medford",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Friday, August 25, 2017","7:30 pm","Ying Quartet","First Congregational Church","Wellfleet",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, August 26, 2017","10:30 am","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Saturday, August 26, 2017","6:00 pm","CHAMBER ORCHESTRA CONCERT","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, August 26, 2017","8:00 pm","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Sunday, August 27, 2017","2:30 pm","Andris Nelsons, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Sunday, August 27, 2017","4:00 pm","Trio Solisti","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Sunday, September 3, 2017","4:00 pm","Horszowski Trio","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Ellingwood Chapel Concert Series (EC) presents","Saturday, September 9, 2017","8:00 pm","Thomas Stumpf, piano","Ellingwood Chapel","195 Nahant Rd., Nahant",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Sunday, September 10, 2017","4:00 pm","Shanghai Quartet","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
